date,value
5/9/2016,1201
5/10/2016,2329
5/11/2016,1716
5/12/2016,10539
5/13/2016,6933
5/14/2016,3127
5/15/2016,2927
5/16/2016,2591
5/17/2016,3403
5/18/2016,5410
5/19/2016,19736
5/20/2016,17491
5/21/2016,13370
5/22/2016,13158
5/23/2016,13887
5/24/2016,15336
5/25/2016,14779
5/26/2016,18060
5/27/2016,19997
5/28/2016,19044
5/29/2016,20325
5/30/2016,16607
5/31/2016,16616
6/1/2016,13007
6/2/2016,10329
6/3/2016,10155
6/4/2016,7431
6/5/2016,16031
6/6/2016,16621
6/7/2016,18335
6/8/2016,18072
6/9/2016,18139
6/10/2016,17087
6/11/2016,16098
6/12/2016,16147
6/13/2016,17570
6/14/2016,19395
6/15/2016,18584
6/16/2016,17628
6/17/2016,21691
6/18/2016,21681
6/19/2016,19204
6/20/2016,28508
6/21/2016,26805
6/22/2016,21424
6/23/2016,19820
6/24/2016,19230
6/25/2016,21923
6/26/2016,22685
6/27/2016,24278
6/28/2016,21423
6/29/2016,27734
6/30/2016,26696
7/1/2016,28372
7/2/2016,26393
7/3/2016,27011
7/4/2016,24236
7/5/2016,23843
7/6/2016,24374
7/7/2016,28507
7/8/2016,31184
7/9/2016,27404
7/10/2016,26079
7/11/2016,20339
7/12/2016,21510
7/13/2016,20391
7/14/2016,23278
7/15/2016,22815
7/16/2016,20261
7/17/2016,20331
7/18/2016,19703
7/19/2016,15445
7/20/2016,22046
7/21/2016,27290
7/22/2016,28662
7/23/2016,25053
7/24/2016,19733
7/25/2016,25646
7/26/2016,19637
7/27/2016,23587
7/28/2016,25719
7/29/2016,21667
7/30/2016,16002
7/31/2016,16223
8/1/2016,20947
8/2/2016,20345
8/3/2016,24118
8/4/2016,24951
8/5/2016,27880
8/6/2016,20900
8/7/2016,23536
8/8/2016,24471
8/9/2016,24828
8/10/2016,31583
8/11/2016,30393
8/12/2016,29488
8/13/2016,26206
8/14/2016,29686
8/15/2016,32229
8/16/2016,34396
